epoch,lr,train_time[sec],train_loss,train_score,val_time[sec],val_loss,val_score
0.0,0.0009972883382072953,759.0,0.008707314391052774,0.1080661786548616,118.0,0.00431491000696242,0.43875922131527145
1.0,0.0009891830623632338,719.0,0.004585207042833007,0.19623503195645753,123.0,0.003177305619579789,0.5912050310223367
2.0,0.0009757729755661011,715.0,0.003929648400101899,0.2544790747364995,142.0,0.002642144481024952,0.6724093076193558
3.0,0.0009572050015330874,725.0,0.003602900506797794,0.30089452549507556,141.0,0.002393564371581531,0.7159162825830222
4.0,0.0009336825748732973,721.0,0.003335496986283407,0.336082213061135,145.0,0.0021422850027428657,0.7432416850297224
5.0,0.0009054634122155991,720.0,0.003107567549720997,0.37017696151780355,42.0,0.0020329965912213796,0.766143006525252
6.0,0.0008728566886113102,708.0,0.0028923999270326272,0.4006600232832916,117.0,0.0018377787167472516,0.7917016948869923
7.0,0.0008362196501476349,723.0,0.002758237432753711,0.417622389834472,123.0,0.0017933970059038804,0.8010563563392339
8.0,0.0007959536998847742,712.0,0.0026395585570567572,0.4417425738261055,138.0,0.0016998269515167742,0.8120168783281932
9.0,0.0007525,722.0,0.002501613816937361,0.45747560510935786,143.0,0.0017017068167982153,0.8178546649087786
10.0,0.0007063346383225212,714.0,0.0023853295096129094,0.49406856980364133,150.0,0.0015965933748242876,0.8280308910610719
11.0,0.000657963412215599,722.0,0.0022969560734334015,0.49400083342218754,95.0,0.0015582128453888418,0.8378453476217863
12.0,0.0006079162869547909,706.0,0.002220601442952883,0.4995420337677111,73.0,0.0015252023224762525,0.8455000371174692
13.0,0.0005567415893174886,710.0,0.002113625869692662,0.5288682308805132,118.0,0.0014608122277978551,0.8487680790749248
14.0,0.0005050000000000002,698.0,0.002041428435869853,0.5364055944226351,111.0,0.001406896375179668,0.8558964387805666
15.0,0.0004532584106825117,700.0,0.0019324872452932372,0.5379605557773884,121.0,0.0013887447851727553,0.8580867952014233
16.0,0.00040208371304520916,683.0,0.001870869604614603,0.557693346904449,119.0,0.0013748711678937824,0.8617680638248867
17.0,0.00035203658778440114,694.0,0.0018292317625929976,0.5769754195550901,121.0,0.001333763368755912,0.8630811482717856
18.0,0.00030366536167747904,687.0,0.00176815943315162,0.5565534463680035,120.0,0.0014020788941039523,0.8665211879499413
19.0,0.00025750000000000013,673.0,0.0016814389864070669,0.5765734570531094,121.0,0.001351661376675498,0.8676284310020158
20.0,0.00021404630011522585,701.0,0.0015873962121855645,0.6027567541306551,121.0,0.001294884178528571,0.8713428894991196
21.0,0.00017378034985236535,708.0,0.0015384207252358488,0.611499264189702,118.0,0.0013277308066148496,0.8731024371644516
22.0,0.00013714331138868998,709.0,0.0015150395693146112,0.6100035851821474,117.0,0.0013395334031857929,0.875795594992985
23.0,0.00010453658778440108,735.0,0.0014968867624867996,0.6046154135618873,120.0,0.001283367455205846,0.876819671610556
24.0,7.631742512670285e-05,717.0,0.0014272333923920782,0.6214450364703848,119.0,0.001304808690462493,0.8779807993516546
25.0,5.279499846691252e-05,677.0,0.0013996885920320975,0.610690823536322,109.0,0.0012886500703495833,0.8786269633261927
26.0,3.4227024433899005e-05,679.0,0.0013837612450642049,0.6156963627382679,112.0,0.0013275705287605784,0.87892923637805
27.0,2.0816937636766188e-05,663.0,0.001368427570839415,0.6318352573035979,111.0,0.0012845286209479277,0.8799527137599192
28.0,1.2711661792704668e-05,662.0,0.0013536300463057264,0.635314123003734,110.0,0.0013499089208146462,0.8786050396001839
29.0,1e-05,663.0,0.0013644788382478413,0.6214502159514511,111.0,0.0013229498441419886,0.8796796561831011
